film_idx,title,year,9_how_realistic_did_you_find_the_dialogue_in_the_movie,1_how_many_protagonists_were_there_a_protagonist_is_the_person_or_enti,3_approximately_how_many_named_side_characters_are_in_this_movie_feel,5_if_you_checked_any_of_the_above_how_relevant_are_these_aspect_s_of_t,8a_how_likable_was_this_protagonist_by_likable_we_mean_easy_to_relate,8b_how_competent_was_this_protagonist_by_competent_we_mean_effective_a,11_how_real_did_this_protagonist_feel_to_you,12_how_emotionally_invested_were_you_in_this_protagonist,13_how_relatable_did_you_find_this_protagonist,5_in_your_opinion_how_would_you_rate_the_quality_of_the_character_writ,3_how_realistic_was_the_world_of_the_movie_by_realistic_we_mean_plausi,5_how_fantastical_was_the_world_of_the_movies_by_fantastical_we_mean_a,6_how_science_fictional_was_the_world_of_the_movie_by_science_fictiona,7_overall_how_relevant_was_world_building_to_the_movie_world_building,8_how_many_major_settings_does_the_movie_contain_here_we_re_asking_you,4_how_immersive_did_you_find_this_setting_by_immersive_we_mean_fully_r,5_in_your_opinion_how_would_you_rate_the_quality_of_the_setting_and_wo,7_on_the_whole_how_would_you_describe_the_pace_of_the_movie_pace_is_th,12a_on_a_scale_of_1_entirely_unresolved_to_7_entirely_resolved,12b_on_a_scale_of_1_very_unsurprising_predictable_to_7_very_surprising,12c_on_a_scale_of_1_very_confusing_to_7_very_easy_to_understand,19_how_convincing_did_you_find_the_plot_by_convincing_we_mean_believab,3_how_evocative_did_you_find_the_visual_style_by_evocative_we_mean_aff,4_how_interesting_did_you_find_the_visual_style_by_interesting_we_mean,7_now_let_s_talk_pun_intended_about_dialogue_in_your_opinion_how_was_t,8_how_engaging_did_you_find_the_dialogue_in_the_movie,5_to_what_extent_did_you_feel_moved_by_this_movie_on_an_emotional_basi,13_how_much_did_you_like_the_score,8c_how_proactive_was_this_protagonist_by_proactive_we_mean_motivated_a,plot_driven,character_driven,character_development,opening_hook,time_linearity,plot_linearity,ending_reversal
49483,The Great Adventuress,1928.0,5.0,2.0,20.0,1.0,3.0,3.0,4.0,5.0,4.0,5.0,5.0,1.0,1.0,2.0,3.0,4.0,5.0,3.0,7.0,3.0,6.0,4.0,4.0,3.0,3.0,5.0,3.0,5.0,3.0,4,3,4.0,2,1,1.0,3
49484,Kadinjool Kalyanam,1991.0,4.0,2.0,5.0,5.0,3.0,2.0,5.0,6.0,5.0,4.0,3.0,1.0,1.0,1.0,3.0,4.0,4.0,3.0,5.0,5.0,5.0,3.0,5.0,5.0,3.0,5.0,4.0,5.0,3.0,4,5,5.0,4,1,1.5,3
49485,The Poseidon Project,2013.0,5.0,1.0,10.0,1.0,4.0,5.0,6.0,5.0,5.0,5.0,6.0,1.0,1.0,2.0,3.0,5.0,5.0,3.0,6.0,3.0,6.0,6.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,4,3,3.0,4,2,1.5,1
49486,OMG – Oh My God!,2012.0,5.0,2.0,10.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,3.0,5.0,1.0,3.0,3.0,5.0,6.0,3.0,7.0,6.0,6.0,5.0,6.0,6.0,4.0,6.0,5.0,5.0,5.0,5,5,7.0,4,2,2.0,3
49487,La Fonte des neiges,2009.0,5.0,2.0,5.0,5.0,4.0,4.0,6.0,6.0,6.0,5.0,5.0,2.0,1.0,1.0,2.0,4.0,5.0,3.0,5.0,4.0,6.0,5.0,6.0,6.0,4.0,5.0,4.0,5.0,3.0,2,4,5.0,2,1,1.0,2
49488,Naalai Manithan,1989.0,3.0,4.0,10.0,1.0,2.0,2.0,4.0,3.0,3.0,5.0,2.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,2.0,5.0,3.0,2.0,5.0,5.0,3.0,4.0,3.0,5.0,3.0,5,2,2.0,5,1,1.0,3
49489,Adhisaya Manithan,1990.0,3.0,3.0,15.0,1.0,3.0,4.0,3.0,4.0,4.0,5.0,2.0,2.0,1.0,2.0,3.0,4.0,5.0,3.0,6.0,5.0,3.0,3.0,5.0,5.0,3.0,3.0,2.0,5.0,4.0,5,2,3.0,4,1,1.5,3
49490,A Bag of Hammers,2011.0,4.0,3.0,5.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,1.0,1.0,1.0,3.0,4.0,4.0,3.0,5.0,3.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,2.0,4,4,5.0,4,1,2.0,2
49491,Alibaba Ara Dozen Dongalu,1993.0,3.0,1.0,10.0,1.0,4.0,2.0,5.0,5.0,5.0,5.0,3.0,1.0,1.0,2.0,3.0,4.0,5.0,4.0,7.0,3.0,5.0,3.0,5.0,5.0,3.0,5.0,3.0,5.0,3.0,5,4,5.0,3,1,1.5,3
49492,Smoke Signal (film),1955.0,5.0,3.0,5.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,1.0,1.0,2.0,3.0,5.0,5.0,3.0,5.0,3.0,4.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,3.0,5,4,4.0,4,1,1.0,2
49493,Tall Man Riding,1955.0,5.0,2.0,10.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,3.0,1.0,1.0,2.0,4.0,5.0,5.0,3.0,7.0,3.0,4.0,4.0,5.0,4.0,3.0,5.0,3.0,5.0,4.0,5,4,5.0,3,1,2.0,3
49494,The Girl Rush,1955.0,5.0,1.0,5.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,1.0,1.0,2.0,3.0,4.0,5.0,3.0,7.0,4.0,5.0,4.0,5.0,5.0,3.0,5.0,3.0,5.0,4.0,5,4,5.0,2,1,1.5,3
49495,Many Rivers to Cross (film),1955.0,3.0,4.0,8.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,4.0,3.0,2.0,5.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,3.0,5,4,5.0,2,1,2.0,2
49496,Strange Lady in Town,1955.0,5.0,2.0,7.0,5.0,4.0,4.0,6.0,5.0,5.0,5.0,5.0,1.0,1.0,2.0,3.0,5.0,5.0,3.0,6.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,4.0,5,5,5.0,3,1,1.0,2
49498,Comin' Round the Mountain (1936 film),1936.0,4.0,2.0,6.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,2.0,3.0,5.0,5.0,3.0,7.0,2.0,6.0,5.0,5.0,5.0,3.0,4.0,2.0,5.0,5.0,5,3,4.0,4,1,1.5,3
49499,The Color Wheel,2011.0,6.0,2.0,5.0,3.0,2.0,2.0,5.0,4.0,4.0,4.0,5.0,1.0,1.0,1.0,3.0,4.0,4.0,3.0,5.0,3.0,3.0,4.0,6.0,6.0,4.0,6.0,3.0,5.0,2.0,3,5,5.0,2,1,1.5,2
49500,Thaai Naadu,1989.0,4.0,2.0,10.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,1.0,1.0,1.0,3.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,3.0,5.0,5.0,4,4,5.0,4,4,3.5,3
49501,Story of a Beloved Wife,1951.0,5.0,2.0,5.0,3.0,4.0,3.0,6.0,6.0,5.0,4.0,5.0,1.0,1.0,1.0,3.0,4.0,4.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4,5,5.0,2,1,1.5,3
49502,Flicka: Country Pride,2012.0,5.0,2.0,5.0,4.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,1.0,1.0,2.0,3.0,5.0,5.0,3.0,7.0,2.0,6.0,5.0,5.0,4.0,3.0,5.0,3.0,5.0,5.0,5,5,6.0,2,1,1.5,3
49503,Le foto proibite di una signora per bene,1970.0,3.0,1.0,5.0,5.0,3.0,2.0,4.0,4.0,4.0,5.0,3.0,1.0,1.0,2.0,3.0,4.0,5.0,2.0,5.0,6.0,3.0,3.0,6.0,6.0,3.0,3.0,3.0,7.0,2.0,5,4,5.0,5,1,2.0,3
49504,Epic (2013 film),2013.0,4.0,4.0,10.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,2.0,6.0,2.0,4.0,3.0,5.0,5.0,3.0,7.0,3.0,5.0,3.0,5.0,5.0,3.0,4.0,3.0,5.0,4.0,5,3,5.0,4,1,1.5,3
49505,Aftershock (2012 film),2012.0,3.0,5.0,10.0,5.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,4.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,5,2,2.0,5,1,2.0,3
49507,Born Villain (film),2011.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,7.0,1.0,1.0,7.0,7.0,2.0,2.0,1.0,2.0,1.0,1,1,1.0,5,4,4.0,3
49508,Victim (2011 film),2011.0,5.0,2.0,8.0,5.0,4.0,4.0,6.0,6.0,6.0,5.0,5.0,1.0,1.0,2.0,3.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0,5.0,4.0,3.0,5.0,3.0,5.0,4.0,5,5,6.0,3,1,1.5,2
49510,Mexico (film),1930.0,3.0,2.0,3.0,1.0,4.0,5.0,5.0,5.0,5.0,4.0,2.0,3.0,1.0,2.0,3.0,3.0,4.0,3.0,7.0,3.0,5.0,3.0,5.0,5.0,3.0,5.0,3.0,5.0,4.0,5,2,2.0,3,1,1.5,3
49511,4 Days in May,2011.0,5.0,3.0,10.0,5.0,4.0,4.0,5.0,6.0,4.0,5.0,5.0,1.0,1.0,2.0,3.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,4,4,5.0,4,4,3.5,3
49512,The Frontier (2014 film),2014.0,5.0,3.0,3.0,5.0,3.0,2.0,5.0,5.0,6.0,3.0,5.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,4.0,3.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,2,5,5.0,2,1,1.5,2
49513,Winter Storage,1949.0,3.0,3.0,3.0,1.0,3.0,3.0,5.0,3.0,5.0,5.0,2.0,2.0,1.0,1.0,3.0,4.0,5.0,3.0,5.0,2.0,6.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,3.0,5,2,2.0,2,1,1.0,2
49514,A Gentleman at Heart,1942.0,5.0,3.0,10.0,1.0,3.0,3.0,5.0,5.0,4.0,5.0,3.0,1.0,1.0,2.0,3.0,5.0,5.0,3.0,7.0,3.0,5.0,4.0,5.0,5.0,3.0,5.0,3.0,5.0,3.0,5,4,5.0,3,1,1.5,3
49515,Bommala Pelli,1958.0,5.0,2.0,10.0,5.0,5.0,3.0,5.0,6.0,5.0,5.0,3.0,1.0,1.0,1.0,3.0,5.0,5.0,3.0,7.0,3.0,5.0,4.0,5.0,5.0,3.0,5.0,4.0,5.0,3.0,5,5,6.0,2,1,1.5,3
49516,Hum Hai Raahi Car Ke,2013.0,3.0,2.0,10.0,1.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,5.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,4,1,1.0,1,1,1.0,1
49517,Ee Rojullo,2012.0,5.0,2.0,10.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,1.0,1.0,1.0,3.0,3.0,4.0,3.0,7.0,3.0,5.0,4.0,4.0,4.0,3.0,5.0,3.0,5.0,4.0,4,4,5.0,2,1,2.0,3
49518,"Ricardo, Miriam y Fidel",1997.0,5.0,2.0,5.0,5.0,3.0,4.0,6.0,5.0,5.0,5.0,5.0,1.0,1.0,2.0,3.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,6.0,5.0,3.0,5.0,4.0,6.0,3.0,3,3,5.0,2,1,1.5,2
49519,Anna (1970 film),1970.0,5.0,1.0,10.0,3.0,4.0,3.0,6.0,5.0,5.0,5.0,5.0,1.0,1.0,2.0,2.0,4.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,2.0,2,4,4.0,2,1,1.0,1
49520,Back Pay (1930 film),1930.0,5.0,1.0,5.0,4.0,3.0,3.0,5.0,5.0,5.0,4.0,4.0,1.0,1.0,1.0,3.0,4.0,4.0,3.0,6.0,4.0,5.0,5.0,5.0,4.0,3.0,5.0,4.0,2.0,4.0,5,5,6.0,3,1,1.5,3
49521,Back Pay (1922 film),1922.0,5.0,2.0,5.0,5.0,4.0,3.0,5.0,6.0,5.0,5.0,4.0,1.0,1.0,1.0,3.0,5.0,5.0,3.0,7.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,2.0,4.0,5,5,6.0,3,1,2.0,3
49522,The Hunger Games: Catching Fire,2013.0,5.0,2.0,20.0,5.0,5.0,4.0,6.0,6.0,5.0,6.0,2.0,2.0,5.0,5.0,3.0,6.0,6.0,4.0,3.0,5.0,5.0,5.0,6.0,6.0,4.0,6.0,4.0,6.0,5.0,5,5,5.0,5,1,2.0,3
49523,The Singing Cowboy (film),1936.0,5.0,3.0,8.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,1.0,2.0,4.0,5.0,5.0,3.0,7.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,5,4,4.0,5,1,1.5,3
49524,The Yellow Passport,1916.0,5.0,2.0,10.0,5.0,5.0,4.0,6.0,6.0,5.0,5.0,5.0,1.0,1.0,2.0,2.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,6.0,5.0,4.0,5.0,4.0,5.0,4.0,4,4,5.0,4,1,1.5,3
49525,Guns and Guitars,1936.0,5.0,3.0,10.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,1.0,2.0,4.0,5.0,5.0,3.0,7.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,2.0,5.0,5.0,5,3,5.0,4,1,1.5,3
49526,Kudesan,2012.0,3.0,2.0,5.0,5.0,4.0,1.0,5.0,6.0,2.0,5.0,5.0,1.0,1.0,2.0,2.0,4.0,5.0,2.0,2.0,3.0,3.0,5.0,5.0,5.0,2.0,3.0,4.0,2.0,1.0,3,3,3.0,4,1,1.0,1
49527,Mass Effect: Paragon Lost,2012.0,5.0,1.0,10.0,5.0,5.0,4.0,6.0,6.0,5.0,6.0,3.0,5.0,6.0,5.0,3.0,6.0,6.0,4.0,6.0,5.0,5.0,5.0,6.0,5.0,3.0,5.0,5.0,5.0,5.0,5,5,6.0,5,1,1.5,3
49528,Epitome (film),1953.0,5.0,1.0,10.0,5.0,4.0,2.0,6.0,6.0,5.0,5.0,5.0,1.0,1.0,2.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,4.0,6.0,6.0,3.0,5.0,4.0,5.0,3.0,5,5,5.0,3,1,2.0,2
49529,Bikhre Moti,1971.0,5.0,3.0,5.0,4.0,4.0,3.0,5.0,6.0,5.0,4.0,3.0,1.0,1.0,1.0,3.0,4.0,4.0,3.0,6.0,5.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,5.0,3.0,5,5,5.0,4,2,2.0,3
49530,Venetian Nights (film),1931.0,5.0,2.0,10.0,2.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,1.0,1.0,2.0,3.0,5.0,5.0,3.0,5.0,3.0,6.0,4.0,5.0,5.0,3.0,5.0,3.0,5.0,4.0,4,4,5.0,2,1,1.5,2
49531,Ninaithu Ninaithu Parthen,2007.0,4.0,2.0,10.0,5.0,3.0,2.0,5.0,6.0,5.0,4.0,4.0,1.0,1.0,2.0,3.0,4.0,4.0,2.0,1.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,5.0,2.0,4,4,5.0,3,4,3.5,3
49532,Life of a Woman,1953.0,3.0,1.0,10.0,5.0,2.0,4.0,5.0,5.0,5.0,5.0,3.0,1.0,1.0,1.0,3.0,4.0,5.0,2.0,2.0,3.0,3.0,3.0,5.0,5.0,3.0,3.0,4.0,5.0,4.0,5,4,5.0,5,1,2.0,3
49533,Rootin' Tootin' Rhythm,1937.0,3.0,2.0,8.0,1.0,4.0,4.0,5.0,4.0,5.0,5.0,3.0,1.0,1.0,1.0,3.0,4.0,5.0,3.0,7.0,2.0,5.0,3.0,4.0,4.0,3.0,4.0,2.0,5.0,4.0,5,2,2.0,3,1,1.5,3
49534,Rita (2009 Italian film),2009.0,5.0,2.0,5.0,5.0,5.0,4.0,6.0,6.0,5.0,6.0,5.0,2.0,1.0,2.0,3.0,5.0,6.0,3.0,5.0,4.0,5.0,5.0,6.0,6.0,3.0,5.0,4.0,5.0,4.0,4,5,5.0,4,1,1.5,2
49535,Wolf (1955 film),1955.0,5.0,5.0,5.0,5.0,4.0,2.0,6.0,5.0,6.0,5.0,5.0,1.0,1.0,2.0,3.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,3.0,5,5,3.0,4,4,3.5,3
49536,Mata Hari (1927 film),1927.0,4.0,2.0,10.0,4.0,3.0,2.0,5.0,5.0,5.0,5.0,4.0,1.0,1.0,2.0,3.0,4.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,3.0,4,4,5.0,4,1,1.5,3
49537,Islands (2011 film),2011.0,5.0,3.0,4.0,5.0,5.0,3.0,6.0,6.0,6.0,6.0,5.0,1.0,1.0,3.0,3.0,5.0,6.0,3.0,5.0,3.0,5.0,6.0,6.0,5.0,3.0,5.0,4.0,5.0,3.0,3,5,5.0,2,1,1.5,1
49538,Yodelin' Kid from Pine Ridge,1937.0,5.0,2.0,10.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,1.0,1.0,2.0,3.0,5.0,5.0,3.0,7.0,3.0,5.0,4.0,5.0,5.0,3.0,5.0,3.0,5.0,5.0,5,5,5.0,4,2,2.0,3
49539,Simanaheen,2013.0,5.0,4.0,10.0,5.0,5.0,4.0,6.0,6.0,6.0,6.0,5.0,1.0,1.0,3.0,3.0,6.0,6.0,4.0,6.0,5.0,5.0,5.0,6.0,6.0,4.0,6.0,5.0,7.0,4.0,5,5,6.0,4,4,3.5,3
49540,Deivam,1972.0,5.0,6.0,12.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,6.0,1.0,2.0,6.0,5.0,5.0,3.0,7.0,2.0,5.0,3.0,6.0,5.0,3.0,5.0,4.0,5.0,3.0,5,5,5.0,3,4,3.5,3
49541,Snow White and the Huntsman,2012.0,3.0,3.0,20.0,5.0,4.0,4.0,5.0,5.0,5.0,6.0,2.0,6.0,1.0,4.0,4.0,6.0,6.0,3.0,7.0,2.0,5.0,4.0,7.0,7.0,3.0,4.0,3.0,5.0,4.0,5,4,6.0,5,1,2.0,3
49542,Kings of Devon,2010.0,5.0,2.0,20.0,4.0,4.0,3.0,6.0,5.0,5.0,5.0,3.0,1.0,1.0,2.0,2.0,5.0,5.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,3.0,5,3,5.0,4,1,1.5,3
49543,Megane (film),2007.0,5.0,1.0,5.0,4.0,3.0,3.0,5.0,4.0,5.0,6.0,5.0,1.0,1.0,3.0,2.0,5.0,6.0,2.0,6.0,3.0,5.0,4.0,6.0,6.0,3.0,4.0,3.0,5.0,2.0,2,5,5.0,2,1,1.0,2
49545,Dawn of the Planet of the Apes,2014.0,5.0,3.0,20.0,5.0,5.0,4.0,6.0,6.0,5.0,6.0,2.0,1.0,5.0,5.0,3.0,6.0,6.0,4.0,5.0,5.0,5.0,5.0,7.0,7.0,4.0,5.0,4.0,6.0,4.0,5,4,5.0,5,1,1.5,3
49546,Shikari (1963 film),1963.0,3.0,4.0,10.0,2.0,3.0,3.0,5.0,4.0,4.0,5.0,2.0,4.0,3.0,3.0,4.0,4.0,5.0,3.0,7.0,3.0,5.0,3.0,5.0,5.0,3.0,4.0,2.0,5.0,4.0,5,2,3.0,3,1,1.5,3
49547,En Rathathin Rathame,1989.0,5.0,2.0,20.0,5.0,5.0,4.0,6.0,6.0,6.0,5.0,3.0,5.0,4.0,1.0,4.0,5.0,5.0,3.0,7.0,5.0,3.0,4.0,5.0,5.0,3.0,5.0,4.0,5.0,4.0,5,4,6.0,3,1,1.5,3
49548,Wasting Away,2007.0,4.0,5.0,10.0,3.0,4.0,3.0,5.0,5.0,5.0,5.0,2.0,3.0,3.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,4.0,3.0,5.0,5.0,3.0,5.0,3.0,5.0,3.0,5,4,4.0,5,1,3.5,3
49549,Ozhimuri,2012.0,6.0,3.0,5.0,5.0,2.0,2.0,6.0,5.0,5.0,6.0,6.0,1.0,1.0,2.0,3.0,5.0,6.0,3.0,6.0,5.0,5.0,6.0,6.0,5.0,4.0,6.0,5.0,5.0,2.0,4,5,5.0,3,4,3.5,2
49550,Bachchan (2013 film),2013.0,5.0,2.0,10.0,5.0,4.0,4.0,6.0,6.0,4.0,5.0,3.0,1.0,1.0,2.0,5.0,5.0,5.0,4.0,7.0,5.0,3.0,4.0,6.0,6.0,4.0,6.0,4.0,6.0,5.0,5,4,5.0,5,4,2.0,3
49551,Nandito Ako... Nagmamahal sa 'Yo,2009.0,5.0,3.0,3.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,1.0,1.0,2.0,2.0,5.0,5.0,3.0,5.0,3.0,5.0,4.0,5.0,4.0,3.0,5.0,4.0,5.0,4.0,4,4,6.0,3,1,1.5,3
49552,Tur &amp; retur,2003.0,5.0,2.0,10.0,5.0,4.0,4.0,6.0,5.0,5.0,5.0,5.0,1.0,1.0,2.0,3.0,5.0,5.0,3.0,5.0,5.0,6.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,4.0,4,4,5.0,3,1,1.0,3
49553,Vetri Selvan,2014.0,3.0,3.0,3.0,5.0,2.0,1.0,3.0,2.0,5.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2,3,2.0,1,1,1.5,1
49554,The Hideout (2007 film),2007.0,3.0,2.0,10.0,5.0,3.0,2.0,4.0,3.0,5.0,4.0,2.0,2.0,1.0,2.0,3.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,4,4,5.0,5,4,3.5,3
49555,The Hypo-Chondri-Cat,1950.0,3.0,3.0,3.0,1.0,2.0,2.0,5.0,3.0,4.0,4.0,2.0,3.0,1.0,1.0,2.0,4.0,4.0,3.0,5.0,3.0,5.0,3.0,5.0,6.0,4.0,5.0,2.0,5.0,2.0,4,3,3.0,3,2,3.0,3
49556,Madadgaar,1987.0,5.0,2.0,5.0,4.0,5.0,4.0,6.0,6.0,6.0,5.0,4.0,1.0,1.0,1.0,3.0,4.0,5.0,3.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,4.0,5,4,5.0,3,1,1.0,2
49557,Mother (1963 film),1963.0,5.0,1.0,5.0,5.0,5.0,3.0,6.0,7.0,6.0,5.0,5.0,1.0,1.0,1.0,3.0,5.0,5.0,3.0,3.0,5.0,4.0,5.0,6.0,5.0,3.0,5.0,5.0,5.0,4.0,4,5,5.0,4,1,1.5,3
49558,Mera Saathi,1985.0,3.0,2.0,5.0,2.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,1.0,1.0,1.0,3.0,4.0,4.0,3.0,7.0,3.0,6.0,4.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0,4,4,6.0,2,1,1.0,2
49559,The Scarlet Lady (1969 film),1969.0,5.0,2.0,6.0,5.0,3.0,2.0,5.0,6.0,5.0,5.0,3.0,1.0,1.0,1.0,3.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,6.0,5.0,3.0,5.0,4.0,5.0,4.0,5,5,6.0,5,1,2.0,3
49560,Shirin Farhad Ki Toh Nikal Padi,2012.0,5.0,2.0,5.0,5.0,4.0,3.0,6.0,5.0,6.0,5.0,5.0,1.0,1.0,2.0,3.0,5.0,5.0,3.0,5.0,3.0,6.0,5.0,5.0,4.0,4.0,5.0,3.0,5.0,4.0,3,4,5.0,2,1,1.0,2
49561,Skeeter (film),1993.0,2.0,3.0,5.0,1.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,4,2,1.0,4,1,1.0,1
49562,Holy Water (film),2009.0,5.0,4.0,10.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,1.0,1.0,2.0,3.0,5.0,5.0,3.0,7.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,5.0,4.0,5,3,4.0,4,1,1.5,2
49563,Playmaker (1994 film),1994.0,3.0,1.0,5.0,5.0,3.0,2.0,5.0,5.0,5.0,4.0,3.0,1.0,1.0,2.0,3.0,3.0,4.0,3.0,3.0,5.0,3.0,3.0,4.0,5.0,3.0,3.0,2.0,5.0,3.0,4,4,5.0,5,1,3.5,3
49564,Pagalil Oru Iravu,1979.0,4.0,3.0,10.0,5.0,4.0,3.0,5.0,5.0,4.0,5.0,3.0,1.0,1.0,1.0,3.0,4.0,5.0,3.0,6.0,5.0,3.0,4.0,6.0,6.0,3.0,5.0,4.0,6.0,2.0,5,5,5.0,4,4,3.5,3
49565,Paperman,2012.0,6.0,2.0,2.0,1.0,5.0,3.0,6.0,6.0,6.0,6.0,5.0,2.0,1.0,2.0,3.0,5.0,6.0,4.0,7.0,3.0,6.0,5.0,7.0,7.0,4.0,5.0,5.0,7.0,4.0,5,5,5.0,4,1,1.0,3
49566,Des Hoyaa Pardes,2004.0,5.0,1.0,10.0,5.0,5.0,3.0,6.0,6.0,5.0,6.0,5.0,1.0,1.0,2.0,3.0,5.0,6.0,3.0,3.0,5.0,3.0,5.0,6.0,5.0,3.0,5.0,5.0,5.0,5.0,5,5,6.0,5,2,2.0,3
49567,Les fils du vent,2004.0,5.0,4.0,10.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,3.0,1.0,1.0,2.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,6.0,3.0,4.0,3.0,5.0,4.0,5,4,5.0,4,2,1.5,3
49568,The Taiwan Oyster,2012.0,5.0,3.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,1.0,1.0,3.0,3.0,5.0,5.0,3.0,6.0,5.0,5.0,5.0,6.0,6.0,3.0,5.0,4.0,6.0,4.0,5,4,5.0,4,1,1.0,2
49569,China Sky (film),1945.0,3.0,3.0,8.0,3.0,4.0,4.0,5.0,4.0,5.0,3.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,4.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,4,4,3.0,3,1,1.5,3
49570,Miracle in Cell No. 7,2013.0,5.0,2.0,10.0,5.0,5.0,4.0,6.0,7.0,6.0,5.0,3.0,1.0,1.0,1.0,3.0,5.0,5.0,3.0,6.0,5.0,6.0,4.0,6.0,5.0,4.0,6.0,5.0,7.0,4.0,5,5,6.0,5,4,2.5,3
49571,Kamasutra: The Revenge,,4.0,2.0,10.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,2.0,1.0,2.0,3.0,4.0,4.0,3.0,5.0,4.0,5.0,3.0,5.0,5.0,3.0,5.0,3.0,5.0,4.0,4,4,5.0,4,1,1.5,2
