tv_idx,title,year,9_how_realistic_did_you_find_the_dialogue_in_the_movie,1_how_many_protagonists_were_there_a_protagonist_is_the_person_or_enti,3_approximately_how_many_named_side_characters_are_in_this_movie_feel,5_if_you_checked_any_of_the_above_how_relevant_are_these_aspect_s_of_t,8a_how_likable_was_this_protagonist_by_likable_we_mean_easy_to_relate,8b_how_competent_was_this_protagonist_by_competent_we_mean_effective_a,11_how_real_did_this_protagonist_feel_to_you,12_how_emotionally_invested_were_you_in_this_protagonist,13_how_relatable_did_you_find_this_protagonist,5_in_your_opinion_how_would_you_rate_the_quality_of_the_character_writ,3_how_realistic_was_the_world_of_the_movie_by_realistic_we_mean_plausi,5_how_fantastical_was_the_world_of_the_movies_by_fantastical_we_mean_a,6_how_science_fictional_was_the_world_of_the_movie_by_science_fictiona,7_overall_how_relevant_was_world_building_to_the_movie_world_building,8_how_many_major_settings_does_the_movie_contain_here_we_re_asking_you,4_how_immersive_did_you_find_this_setting_by_immersive_we_mean_fully_r,5_in_your_opinion_how_would_you_rate_the_quality_of_the_setting_and_wo,7_on_the_whole_how_would_you_describe_the_pace_of_the_movie_pace_is_th,12a_on_a_scale_of_1_entirely_unresolved_to_7_entirely_resolved,12b_on_a_scale_of_1_very_unsurprising_predictable_to_7_very_surprising,12c_on_a_scale_of_1_very_confusing_to_7_very_easy_to_understand,19_how_convincing_did_you_find_the_plot_by_convincing_we_mean_believab,3_how_evocative_did_you_find_the_visual_style_by_evocative_we_mean_aff,4_how_interesting_did_you_find_the_visual_style_by_interesting_we_mean,7_now_let_s_talk_pun_intended_about_dialogue_in_your_opinion_how_was_t,8_how_engaging_did_you_find_the_dialogue_in_the_movie,5_to_what_extent_did_you_feel_moved_by_this_movie_on_an_emotional_basi,13_how_much_did_you_like_the_score,8c_how_proactive_was_this_protagonist_by_proactive_we_mean_motivated_a,plot_driven,character_driven,character_development,opening_hook,time_linearity,plot_linearity,ending_reversal
21897,The Shannara Chronicles,2024.0,4,3,30,1,4,4,4,5,3,4,2,7,6,5,3,6.0,6,3,4,3,5,3,6,6,3,5,3,5,4,5,3,5,4,1,1.5,3
21898,The Colter Craven Story,2025.0,5,2,10,1,3,3,5,4,5,5,5,2,1,4,2,5.0,5,3,1,3,5,5,5,5,4,5,2,5,3,4,3,3,3,1,1.0,1
21899,D-Day (TV series),2015.0,5,2,20,1,4,4,5,6,5,5,4,3,2,5,3,5.0,5,4,3,5,5,5,5,5,4,5,4,5,4,4,4,5,5,1,1.5,2
21900,Yo soy Franky,2025.0,3,4,10,3,4,4,3,5,4,5,3,5,5,4,3,4.0,5,3,4,3,6,3,5,5,3,5,2,5,4,4,4,5,3,1,1.5,2
21901,Come Home Love series 2,2015.0,5,3,20,3,4,3,5,5,5,6,5,1,1,3,3,5.0,5,3,6,3,5,5,5,4,4,5,4,5,3,4,4,5,2,1,1.5,2
21903,A Regra do Jogo,2016.0,5,3,20,4,2,2,5,5,3,6,4,1,1,4,4,5.0,5,4,3,5,3,5,5,5,4,6,4,5,3,4,5,5,4,2,2.0,3
21904,Episode 5 (Humans series 1),2022.0,5,3,10,4,3,3,6,6,4,5,5,2,5,5,4,5.0,6,3,3,5,3,5,6,5,4,6,4,5,3,4,4,4,4,1,1.5,2
21905,"Go, Stewie, Go!",2025.0,3,3,10,4,4,4,3,5,5,5,2,5,1,3,3,5.0,5,4,5,5,5,3,5,5,4,5,2,5,5,4,4,4,4,1,1.5,2
21906,Ambition (TV series),2025.0,3,1,20,3,1,2,3,2,2,4,3,1,1,3,4,5.0,5,4,1,5,2,3,5,5,3,5,4,5,5,5,5,5,5,4,2.0,3
21907,Connie the Cow,2001.0,3,1,4,1,4,3,3,2,3,3,2,2,1,3,3,4.0,4,2,5,2,7,4,5,4,3,3,1,5,4,2,2,3,1,1,1.0,1
21908,The Stray Cat,2017.0,5,2,20,5,5,3,6,6,6,5,4,1,1,4,4,5.0,6,3,3,5,3,5,6,5,4,5,4,5,4,4,5,5,4,4,3.5,3
21909,Of Late I Think of Rosewood,2025.0,5,5,20,5,4,3,6,5,5,5,4,2,1,5,5,5.0,6,3,4,5,3,4,6,5,4,5,4,5,4,5,5,5,5,2,2.0,3
21910,The Office (1995 TV series),1995.0,5,1,5,3,5,4,6,5,6,5,5,1,1,2,2,5.0,5,3,3,1,5,5,4,5,4,5,3,2,4,2,4,3,1,1,1.0,1
21912,Food Chain (Adventure Time),2025.0,3,2,5,1,4,2,4,5,5,5,2,7,7,5,3,5.0,6,4,5,6,3,2,6,6,4,6,3,6,2,4,2,2,5,4,3.5,2
21913,"Game On, Charles",2025.0,5,5,10,5,4,3,5,6,5,5,2,2,1,4,4,5.0,6,4,5,5,3,3,6,6,4,6,4,6,4,5,5,6,5,2,2.5,3
21914,I Am Jazz,2015.0,6,1,10,5,5,4,6,6,5,6,6,1,1,2,2,4.0,5,3,5,3,6,6,6,5,4,5,4,5,5,2,5,6,3,1,1.5,1
21915,Separation Anxiety (Homeland),2025.0,5,4,20,4,4,4,6,6,5,6,5,1,1,4,4,5.0,6,4,5,5,5,5,6,5,4,6,4,5,4,5,4,5,4,1,1.5,2
21916,The Tradition of Hospitality,2025.0,5,6,20,3,3,4,6,6,4,6,5,1,1,5,3,6.0,6,4,3,6,3,5,6,5,4,6,4,5,5,5,4,5,5,1,2.0,3
21917,Super Powers (Homeland),2025.0,5,5,20,4,2,2,6,6,5,6,5,1,1,3,4,5.0,5,3,3,5,3,5,6,5,4,5,4,5,3,4,4,5,5,4,2.5,3
21918,Episode 4 (Humans series 1),2022.0,5,5,10,3,3,3,5,5,5,6,5,3,6,5,5,5.0,6,3,3,5,3,6,6,6,4,6,4,6,3,5,4,3,4,1,2.0,2
21919,Episode 6 (Humans series 1),2022.0,5,5,10,1,3,3,6,6,5,6,5,3,6,5,5,6.0,6,4,5,5,3,5,6,6,4,5,4,6,4,5,5,5,5,4,3.5,3
21920,The Lindbergh Kidnapping Case,1976.0,5,3,10,1,3,3,5,5,3,5,6,1,1,5,5,5.0,6,3,7,3,5,6,6,5,4,5,4,5,3,5,3,2,5,1,1.5,3
21921,Person to Person (Mad Men),2025.0,6,5,20,3,3,3,6,5,5,6,5,1,1,4,6,6.0,6,3,5,5,5,5,6,6,4,6,4,6,3,5,5,6,5,4,3.5,2
21922,Sultan and the Rock Star,2025.0,5,2,10,1,4,4,5,6,5,5,3,5,1,3,2,5.0,5,3,5,4,6,3,6,5,3,5,4,5,4,4,4,5,4,1,1.0,3
21923,Bajo sospecha,2015.0,5,3,20,3,4,4,5,5,5,5,5,1,1,3,2,5.0,5,3,5,5,5,5,6,5,4,6,4,5,4,5,4,3,5,1,1.5,3
21924,Los simuladores,2011.0,5,4,30,1,4,5,5,5,5,6,4,1,1,4,3,5.0,6,4,5,5,5,5,5,5,4,6,3,6,5,5,3,3,3,1,1.0,1
21925,Spooks: Code 9,2017.0,5,1,20,1,3,3,4,4,3,4,3,2,2,5,3,5.0,5,4,2,5,4,4,5,5,3,5,3,5,4,5,2,3,5,1,1.0,1
21926,All Hell Breaks Loose (Supernatural),2025.0,5,3,6,3,4,2,6,7,5,6,2,7,6,4,3,6.0,6,4,3,6,3,5,6,6,4,6,5,6,4,5,4,5,5,4,2.0,3
21927,Yong-pal,2015.0,5,2,25,3,4,5,6,6,5,5,4,1,1,3,3,5.0,5,4,6,5,5,5,5,5,4,5,4,5,5,4,4,5,4,1,1.5,2
21928,Checking In (American Horror Story),2025.0,3,5,10,3,2,3,3,5,2,5,2,6,3,5,5,6.0,6,4,3,5,3,2,6,6,3,5,3,5,4,5,4,3,5,4,3.5,3
21929,Sealed with a Kiss (2015 TV series),2015.0,5,4,10,3,3,2,5,5,4,5,3,3,2,3,3,4.0,5,3,5,5,5,4,5,5,4,5,3,5,3,5,5,5,3,1,1.5,3
21930,The Bluegrass Special,2025.0,5,1,10,5,5,4,6,6,6,6,5,2,1,3,2,5.0,5,3,5,3,6,5,6,5,4,5,4,5,5,4,4,5,2,1,1.0,2
21932,Episode 7 (Humans series 1),2022.0,5,5,10,3,3,3,5,5,5,5,3,3,6,4,5,5.0,6,4,3,5,3,5,5,5,4,5,4,6,3,5,4,5,5,2,2.5,3
21933,Episode 8 (Humans series 1),2022.0,5,5,10,3,4,3,6,6,5,6,4,3,6,4,5,5.0,6,4,5,5,3,6,6,6,4,5,4,6,4,5,4,5,4,2,1.5,2
21934,The Young Runaways (1978 film),2025.0,4,3,10,3,4,2,5,5,4,4,3,2,1,3,3,4.0,4,3,4,4,5,4,5,4,3,5,3,5,4,4,2,3,4,1,1.5,2
21935,Road to India (Family Guy),2025.0,4,2,10,3,3,2,4,4,4,5,3,3,1,4,4,5.0,5,3,4,5,5,3,5,5,4,5,3,5,4,5,4,3,3,1,1.5,2
21936,The Ark (TV series),2023.0,5,3,20,3,3,3,5,4,4,4,4,5,6,5,2,5.0,5,4,4,5,5,4,5,5,3,5,3,5,4,5,3,5,4,1,1.0,2
21937,The Outcast (British TV series),2016.0,5,1,20,4,4,2,6,6,5,6,5,1,1,2,4,5.0,5,3,5,5,5,5,6,5,4,5,4,5,2,4,5,6,5,1,1.5,2
21939,Esa no soy yo,2015.0,5,2,5,4,3,4,6,6,5,5,3,1,1,3,4,5.0,5,4,5,5,4,5,6,5,4,5,4,5,5,5,4,5,5,1,1.5,3
21940,A Tale of Two Stans,2025.0,5,3,20,4,3,3,6,6,5,6,3,5,5,5,3,6.0,6,4,5,5,5,5,6,5,4,6,4,5,4,5,5,5,4,4,2.5,2
21941,A Única Mulher,2015.0,4,5,20,3,3,3,5,5,5,5,4,1,1,3,5,5.0,5,4,3,5,3,4,5,5,4,5,4,5,3,5,5,5,5,4,2.5,3
21942,Belmonte (TV series),2014.0,5,5,10,5,3,4,5,5,5,5,4,1,1,5,3,5.0,6,3,1,5,5,5,5,5,4,5,4,5,3,5,4,5,5,2,2.5,3
21944,Mrs. Cop,2015.0,5,2,10,3,4,4,5,5,5,5,5,1,1,2,2,4.0,5,3,5,3,6,5,5,4,4,5,3,5,4,4,3,4,2,1,1.0,1
21945,The House That Would Not Die,1970.0,5,4,8,1,4,3,5,5,5,5,3,5,2,5,3,6.0,6,3,7,5,5,4,6,5,4,5,3,5,5,5,4,5,5,2,1.5,3
21946,Wynonna Earp (TV series),2021.0,4,3,30,5,5,4,5,6,6,6,2,6,5,5,3,6.0,6,4,5,5,5,4,6,5,4,5,4,5,5,5,4,6,5,2,2.5,2
21948,Red Alert (1977 film),2020.0,5,2,5,1,4,4,5,5,5,5,5,1,3,4,2,5.0,5,4,5,5,3,5,5,5,3,5,4,2,4,5,3,3,5,1,1.5,3
21950,Haywire (Australian Playhouse),2019.0,4,3,5,1,3,2,5,4,5,4,4,2,1,2,3,4.0,4,3,2,4,4,4,5,5,3,5,3,5,2,3,3,3,3,1,2.0,2
21951,The Pigeon (Australian Playhouse),1966.0,5,1,5,4,4,2,6,6,5,6,5,1,1,2,3,5.0,5,3,3,5,5,5,6,5,4,6,4,5,2,4,5,5,5,1,1.5,2
21952,The Affair (Wednesday Theatre),2019.0,5,2,20,3,4,3,5,5,5,5,5,1,1,2,2,5.0,5,3,4,5,5,5,5,5,4,5,4,5,4,4,4,5,4,1,1.5,3
21953,SashaTanya,2013.0,5,2,10,3,4,4,5,5,5,5,5,1,1,2,2,4.0,4,3,6,3,6,5,5,3,3,5,3,5,4,2,3,4,1,1,1.5,1
21954,She Was Pretty,2015.0,5,4,20,3,4,3,6,5,6,5,5,1,1,2,2,5.0,5,3,7,4,6,5,5,5,4,6,4,5,3,3,5,5,2,1,1.5,3
21955,Pilot (Fear the Walking Dead),2025.0,5,5,10,1,3,3,5,5,4,5,3,6,6,4,5,5.0,6,3,3,5,5,5,6,6,4,5,4,5,3,5,4,3,5,1,1.5,3
21956,"So Close, Yet So Far (Fear the Walking Dead)",2025.0,5,6,20,3,3,4,5,5,5,5,5,5,5,4,5,5.0,6,4,3,5,3,5,6,6,4,5,4,5,4,5,4,5,5,1,1.5,2
21957,Immortality (CSI: Crime Scene Investigation),2025.0,5,5,20,3,4,4,6,5,5,5,5,1,1,3,4,5.0,5,4,6,5,3,5,5,5,4,6,4,5,4,5,4,5,5,1,1.5,2
21958,Miss Switch to the Rescue,2025.0,3,3,10,1,4,4,4,5,4,5,2,7,5,5,5,5.0,5,4,5,5,3,3,5,5,4,5,3,5,4,5,2,2,5,4,2.5,3
21959,The Virtual Bride,2015.0,5,2,20,3,4,3,5,5,5,5,4,1,1,2,2,5.0,5,3,6,5,5,5,5,5,4,5,4,5,4,3,4,5,3,1,1.5,2
21960,Club de Cuervos,2025.0,5,3,30,5,2,2,6,5,5,6,5,1,1,5,2,5.0,6,3,4,3,5,5,5,5,4,6,4,5,4,4,4,5,4,1,1.5,2
21961,Word Party,2016.0,5,5,5,1,5,3,3,1,3,5,2,3,1,2,1,3.0,5,3,7,1,7,5,5,5,4,5,1,5,1,1,1,1,1,1,1.0,1
21962,True and the Rainbow Kingdom,2025.0,4,2,20,1,5,5,4,4,5,5,2,7,3,5,2,5.0,6,3,5,2,6,4,6,6,3,5,2,5,5,2,2,2,1,1,1.0,1
21963,Kong: King of the Apes,2016.0,2,4,10,1,4,4,3,5,3,4,2,6,6,4,3,5.0,5,3,3,4,5,2,5,5,3,4,2,5,4,5,2,3,5,1,1.5,3
21964,Green Eggs and Ham (TV series),2019.0,3,4,8,1,5,3,5,5,5,5,2,6,4,4,3,5.0,5,4,5,3,5,3,6,6,4,5,2,5,5,5,2,3,4,1,1.5,1
21965,Brick Slaves,2015.0,5,3,10,3,4,3,6,5,6,5,5,1,1,4,4,5.0,5,3,5,5,5,5,5,5,4,5,3,5,4,4,4,5,3,1,1.5,3
21966,Legend of Zu Mountain,2021.0,3,5,20,3,4,3,5,6,5,5,2,6,3,5,3,5.0,6,3,3,4,3,4,6,6,4,5,4,5,5,5,4,5,4,2,1.5,2
21969,WITS Academy,2025.0,4,3,20,3,4,4,4,5,5,5,2,7,5,5,2,5.0,5,3,5,3,5,3,5,5,3,5,2,5,4,3,4,5,2,1,1.0,1
21970,BrainDead,2016.0,3,2,25,2,4,3,4,5,4,5,1,6,6,5,1,5.0,6,4,4,5,4,2,6,5,4,6,2,5,4,5,3,5,5,1,1.5,2
21971,Tukiki and His Search for a Merry Christmas,1979.0,4,2,10,4,5,4,5,6,5,5,3,5,2,4,4,5.0,5,3,7,3,6,5,5,5,4,5,4,5,5,4,4,6,2,1,1.5,3
21972,The Trolls and the Christmas Express,1981.0,3,2,10,3,4,2,3,3,5,5,2,6,2,4,3,5.0,5,3,7,3,5,3,5,5,4,5,3,5,4,5,3,5,3,1,1.5,3
21973,The Young Pope,2016.0,5,1,25,5,2,3,6,5,3,6,4,1,1,5,4,6.0,6,3,4,6,3,4,7,6,4,6,4,6,5,5,5,5,5,1,1.5,3
21974,Vinyl (TV series),2016.0,5,1,30,3,3,3,5,5,4,5,6,1,1,5,3,6.0,6,4,4,5,5,5,6,6,4,6,4,6,4,4,4,5,4,1,2.0,2
21976,Mundhanai Mudichu (TV series),2015.0,5,2,30,3,4,4,5,5,5,5,4,1,1,2,2,4.0,5,3,5,3,5,5,5,4,3,5,4,5,4,4,4,4,3,1,1.0,3
21977,Sick Bricks,2015.0,3,1,25,3,4,4,3,5,3,4,2,7,6,5,3,6.0,6,4,5,3,5,2,5,5,3,5,2,5,4,4,2,3,4,1,1.0,3
21978,Agent Raghav – Crime Branch,2015.0,5,2,5,5,4,5,5,6,5,5,4,2,1,3,3,5.0,5,4,3,5,5,4,5,5,4,6,4,5,5,5,5,5,5,2,2.0,3
21980,Cheese in the Trap (TV series),2016.0,5,2,20,4,4,3,6,6,5,6,5,1,1,3,3,5.0,5,3,4,4,5,5,6,5,4,6,4,5,3,3,5,5,4,1,1.5,2
21981,Horvatovi,2015.0,5,2,20,3,4,3,6,5,5,5,5,1,1,2,3,4.0,5,3,5,3,6,5,5,4,4,5,3,5,3,3,4,4,3,1,1.0,2
21982,Lies that Bind,2015.0,5,4,20,3,2,3,5,5,5,5,6,1,1,3,3,4.0,5,3,3,5,5,5,5,5,4,5,4,5,2,4,4,4,4,1,1.0,3
21983,Two's a Crowd (TV series),2015.0,5,4,5,3,4,3,5,5,5,5,5,1,1,2,2,4.0,4,3,5,3,5,5,5,4,4,5,3,5,3,2,4,3,1,1,1.0,1
21984,Tzigane (TV series),2015.0,5,3,20,5,3,3,5,4,4,4,5,3,1,4,2,5.0,6,3,1,3,5,5,6,6,3,5,3,6,1,2,1,2,1,1,1.0,1
21986,Gokulathil Seethai (2008 TV series),2019.0,5,2,20,3,3,2,5,5,5,4,4,1,1,2,3,4.0,4,3,2,3,4,4,5,4,3,4,3,5,3,4,4,5,4,1,1.0,3
21987,Pasión y poder (2015 TV series),2015.0,5,6,30,5,3,3,5,5,5,5,3,1,1,5,5,5.0,5,3,4,3,4,5,5,5,4,5,4,5,4,5,5,5,4,2,1.5,3
21988,The Path (TV series),2020.0,6,3,20,5,4,3,6,6,5,6,4,3,1,5,3,5.0,6,3,5,5,3,5,6,5,4,6,4,5,4,4,5,6,4,1,1.5,2
21989,Chutes and Ladders (American Horror Story),2025.0,3,5,10,3,2,3,4,4,3,5,2,7,5,4,3,6.0,6,3,3,5,3,3,6,6,4,6,4,6,2,4,4,3,5,3,3.0,2
21990,Paramparça (TV series),2025.0,4,4,30,5,3,3,6,6,5,5,3,2,1,3,5,5.0,5,4,6,6,3,4,6,5,4,5,5,5,3,5,5,6,5,4,3.5,3
21991,The Fixer (2015 Hong Kong TV series),2015.0,4,5,5,3,3,4,5,5,3,5,3,2,1,4,3,4.0,5,4,5,4,5,4,5,5,4,5,2,5,4,5,3,4,4,1,1.0,1
21992,Escort (2006 film),2006.0,5,4,5,3,3,2,5,5,4,5,3,1,1,3,4,4.0,4,3,3,5,3,4,5,5,3,5,4,5,3,5,4,5,5,1,1.5,3
21993,Devil's Night (American Horror Story),2025.0,3,3,15,3,2,2,5,3,2,5,2,7,5,5,5,6.0,6,4,3,6,2,3,7,6,4,5,4,6,3,5,4,3,5,4,3.5,3
21994,I Order You,2015.0,5,2,15,4,4,4,6,6,5,5,5,1,1,2,2,4.0,5,3,5,4,5,5,5,5,4,5,4,5,3,3,4,5,3,2,1.5,2
21995,Air Force One Is Down,2025.0,5,4,20,1,3,4,5,5,4,5,3,2,1,4,5,5.0,5,4,3,5,3,4,5,5,3,5,4,5,4,5,3,3,5,4,2.5,3
21997,Mohabbat Aag Si,2015.0,4,3,5,4,2,2,5,5,5,5,3,2,1,3,3,5.0,5,3,3,5,4,4,5,5,4,5,4,5,3,4,4,5,5,1,1.5,2
21998,After the Rain (TV series),2000.0,5,3,10,5,1,1,5,2,2,6,5,1,1,5,3,6.0,6,3,1,5,2,5,6,5,3,5,5,5,5,5,5,7,5,4,3.5,3
21999,A Place to Call Home season 3,2015.0,5,5,30,3,4,3,6,6,5,6,5,1,1,4,3,6.0,6,3,3,5,5,5,6,5,4,6,4,5,3,4,5,5,4,1,1.5,2
22000,Jugnoo,2015.0,4,3,10,4,4,2,6,6,5,5,4,2,1,2,4,4.0,4,3,3,4,4,4,5,5,3,5,4,5,2,4,4,5,4,1,1.5,3
22001,Ishq Ka Rang Safed,2015.0,5,2,15,5,4,4,6,6,5,5,4,1,1,4,5,5.0,5,3,3,5,3,4,5,5,4,5,4,5,5,5,5,6,4,2,2.0,3
22002,Alien Opponent,2025.0,5,2,15,1,2,2,3,3,2,5,3,5,5,4,3,5.0,5,4,3,5,5,3,5,5,3,5,2,5,3,4,2,2,5,1,1.0,3
22003,I Have a Lover,2015.0,5,4,20,4,4,3,5,6,5,5,3,1,1,2,4,5.0,5,3,4,5,4,5,5,5,4,6,4,5,4,4,5,6,5,2,2.5,2
22004,Yo compro esa mujer,2017.0,5,4,20,3,2,2,5,5,4,5,3,1,1,4,4,5.0,5,3,4,5,3,4,6,5,4,6,4,5,3,5,5,5,5,4,3.5,3
22005,Agnisakshi (TV series),2015.0,5,3,20,3,5,4,5,5,5,5,4,1,1,3,3,5.0,5,3,4,4,4,4,5,4,3,5,4,5,5,4,4,5,4,1,1.5,3
22006,Satrangi,2015.0,5,6,10,5,5,4,6,6,6,6,5,1,1,5,5,6.0,6,3,5,4,6,5,6,6,4,5,4,6,5,5,5,5,3,1,1.5,1
22007,Don't Forget to Write!,2022.0,5,1,5,3,4,1,6,5,6,5,5,1,1,2,3,4.0,4,2,4,3,6,5,4,3,4,5,3,5,1,2,4,5,2,1,1.0,2
22008,Mommy (American Horror Story),2025.0,3,5,20,3,2,2,5,3,1,5,2,6,3,5,4,6.0,6,3,3,6,2,3,6,6,3,5,4,5,2,5,5,4,5,4,3.5,3
22009,I Only Miss Her When I'm Breathing,2025.0,5,5,15,3,3,2,5,6,5,6,5,1,1,4,5,5.0,6,3,3,5,3,5,6,5,4,5,4,5,3,5,5,5,4,1,2.5,2
22011,Berlin Station (TV series),2017.0,6,2,30,3,4,4,6,5,5,6,6,1,1,4,2,5.0,6,4,3,5,5,5,5,5,4,6,3,5,5,5,3,5,4,1,1.5,2
22015,Baila conmigo (TV series),1992.0,5,3,30,3,3,3,5,5,5,5,5,2,1,4,2,5.0,5,3,4,4,5,5,5,5,4,5,3,5,3,4,3,4,2,1,1.0,2
22016,Rewind (2013 film),2024.0,5,3,5,3,3,3,5,5,5,5,3,5,6,4,3,5.0,5,4,5,5,4,4,6,5,3,5,4,5,4,5,4,5,5,4,2.5,3
22017,Savri Maranan (TV series),2011.0,5,2,20,5,3,3,5,4,5,5,5,1,1,4,2,5.0,5,3,5,3,5,5,5,5,3,5,3,5,2,2,2,2,1,1,1.0,1
22018,The Brokenwood Mysteries,2024.0,6,2,20,1,4,4,6,5,5,6,5,1,1,4,2,5.0,5,3,6,4,6,5,5,5,4,5,3,5,4,4,4,5,4,1,1.0,2
22019,Wedding Bell Blues (Gilmore Girls),2025.0,5,4,30,3,4,3,6,6,6,5,5,1,1,3,3,6.0,6,4,3,5,5,5,6,5,4,6,4,6,4,4,5,5,4,2,2.5,3
22020,Leslie and Ron,2025.0,6,2,8,3,5,4,6,6,5,7,5,1,1,3,1,5.0,6,3,7,5,5,5,6,5,4,6,4,5,5,5,5,6,3,2,1.5,3
22021,Le Cri,2006.0,6,1,20,5,4,4,6,6,6,6,6,1,1,4,3,5.0,6,3,5,3,5,6,6,5,4,5,4,5,3,4,3,4,2,1,1.0,2
22022,The Harvey Korman Show,2025.0,5,2,10,1,2,2,5,3,3,5,5,1,1,2,2,3.0,3,3,3,3,5,5,3,3,3,5,1,2,2,2,3,2,1,1,1.0,1
22023,The Poisoner,2006.0,5,2,25,3,3,3,5,5,5,5,5,1,1,3,3,5.0,5,3,3,5,5,5,6,5,4,5,4,5,4,4,4,5,4,1,2.0,3
22025,Vilakku Vacha Nerathula,2023.0,5,3,5,3,4,3,5,5,5,5,5,1,1,3,3,4.0,5,3,3,3,5,5,5,5,3,5,3,5,2,4,4,4,3,1,1.5,1
22026,Emma Approved,2013.0,5,4,12,3,4,3,5,5,5,6,4,1,1,3,2,5.0,5,3,7,3,5,5,5,5,4,6,3,5,4,5,5,5,2,2,2.5,2
22027,A Line in the Sand (TV series),2020.0,5,1,20,4,3,4,5,5,4,5,5,2,2,4,2,5.0,5,4,5,5,4,5,6,5,4,5,4,5,4,4,3,5,5,1,1.5,3
22028,Volcano: Fire on the Mountain,2015.0,4,2,5,1,4,4,5,5,5,5,3,2,3,4,3,5.0,5,4,7,3,5,4,6,5,3,5,3,5,5,5,3,4,5,1,1.5,3
22029,Second 20s,2015.0,5,1,5,5,5,3,6,6,6,6,5,1,1,2,3,5.0,5,3,5,5,5,5,5,5,4,5,4,5,5,4,5,6,5,1,1.5,2
22030,Desperate Housewives Africa,2023.0,5,5,10,5,4,3,6,5,5,6,5,1,1,5,1,6.0,6,3,4,5,5,5,6,6,4,6,4,5,3,5,5,5,5,4,2.5,2
22031,Mentir para Vivir,2018.0,5,3,10,5,4,4,5,6,5,5,3,1,1,4,5,5.0,5,4,5,5,3,4,5,5,4,6,4,5,4,5,5,6,5,4,2.0,3
22032,Run Daddy Run,2010.0,5,2,10,3,4,3,6,6,5,5,5,1,1,2,3,5.0,5,4,4,5,5,5,5,5,3,5,4,5,4,5,5,6,5,1,1.5,3
22033,Graves (TV series),2016.0,5,2,20,3,3,3,5,5,4,5,5,1,1,3,3,5.0,5,3,4,4,5,5,5,4,4,5,3,5,4,4,4,6,3,1,1.5,2
22034,DC Super Hero Girls,2019.0,4,3,30,3,4,4,5,5,5,5,2,6,6,4,1,5.0,5,3,5,3,6,4,5,5,4,5,2,5,4,3,3,4,2,1,1.0,1
22035,Jelly Jamm,2023.0,3,3,7,1,3,3,3,1,2,5,1,7,6,5,2,5.0,6,3,5,2,7,2,6,6,3,5,2,5,3,3,2,3,1,1,1.0,1
22036,One Sunny Day,2014.0,5,2,10,1,4,3,6,6,6,5,5,1,1,3,2,5.0,5,3,7,3,6,5,5,5,4,5,4,5,3,3,4,5,2,1,1.0,2
22037,Marvel's Most Wanted,2023.0,5,4,20,3,4,4,5,5,5,5,3,4,2,3,3,5.0,5,4,1,4,5,4,5,5,3,5,2,5,4,4,3,4,4,1,1.5,2
22038,The Notebook (TV series),2023.0,5,1,4,3,5,3,6,6,5,5,5,1,1,3,3,5.0,5,3,5,5,5,5,5,5,4,5,4,5,4,4,4,5,5,2,1.5,3
22039,Lady Chatterley's Lover (2015 film),2015.0,6,3,10,5,4,4,6,6,5,5,6,1,1,4,3,5.0,6,3,4,5,5,5,6,5,4,6,4,5,4,4,5,5,4,1,1.5,2
22040,The Detour (TV series),2016.0,5,4,10,1,3,2,5,5,5,5,3,1,1,4,6,5.0,5,4,2,5,4,4,5,5,4,5,2,5,3,5,4,4,5,4,3.5,3
22041,Tum Mere Paas Raho,2015.0,5,3,20,3,3,3,5,5,5,5,5,1,1,2,3,4.0,4,3,4,4,5,5,5,3,3,5,4,5,3,3,4,5,2,1,1.5,2
22042,Sangat (TV series),2015.0,5,3,10,5,2,2,6,6,5,5,3,1,1,3,4,5.0,5,4,3,6,3,4,6,5,4,5,4,5,2,5,5,6,5,2,3.5,3
22043,What Would Sal Do?,2017.0,5,3,10,3,3,2,5,3,5,5,3,4,1,3,3,5.0,5,3,4,4,5,3,4,5,3,5,2,5,2,4,5,5,4,2,2.5,2
22044,Pilot (Scream),2025.0,5,6,15,3,3,1,5,5,4,5,3,1,1,5,5,5.0,5,4,3,5,3,5,6,6,3,5,3,5,2,5,4,2,5,1,2.0,3
22045,Momentary Lapse of Reason (TV series),2015.0,5,3,10,3,4,4,5,6,5,6,5,1,1,5,3,6.0,6,3,3,5,5,5,6,6,4,5,4,5,4,5,4,5,4,1,2.5,3
22046,Cúmplices de um Resgate,2016.0,5,2,20,5,5,3,5,5,5,5,3,2,1,3,4,5.0,5,4,5,3,5,5,5,5,4,5,4,5,4,5,4,5,4,1,2.0,3
22047,Tumhari Natasha,2025.0,5,1,5,4,4,2,5,6,5,5,5,1,1,2,3,5.0,5,3,3,3,5,5,5,4,3,5,4,5,2,3,5,5,3,1,1.5,2
22048,Mol (TV series),2015.0,5,3,5,4,4,3,6,5,5,5,5,1,1,3,3,5.0,5,3,4,4,5,5,5,5,4,5,4,5,4,4,4,5,3,1,1.5,2
22049,Kaisay Tum Se Kahoon,2015.0,5,4,10,5,4,3,5,5,5,5,5,1,1,3,4,5.0,5,3,3,3,5,5,6,5,4,5,4,5,3,4,5,5,3,1,1.5,2
22050,Dangerous Curves (TV series),2015.0,5,2,10,3,4,4,5,4,5,5,4,1,1,3,3,4.0,4,3,4,3,6,4,4,4,3,5,2,5,4,4,3,3,2,1,1.0,1
