book_idx,title,year,9_how_realistic_did_you_find_the_dialogue_in_the_movie,1_how_many_protagonists_were_there_a_protagonist_is_the_person_or_enti,3_approximately_how_many_named_side_characters_are_in_this_movie_feel,5_if_you_checked_any_of_the_above_how_relevant_are_these_aspect_s_of_t,8a_how_likable_was_this_protagonist_by_likable_we_mean_easy_to_relate,8b_how_competent_was_this_protagonist_by_competent_we_mean_effective_a,11_how_real_did_this_protagonist_feel_to_you,12_how_emotionally_invested_were_you_in_this_protagonist,13_how_relatable_did_you_find_this_protagonist,5_in_your_opinion_how_would_you_rate_the_quality_of_the_character_writ,3_how_realistic_was_the_world_of_the_movie_by_realistic_we_mean_plausi,5_how_fantastical_was_the_world_of_the_movies_by_fantastical_we_mean_a,6_how_science_fictional_was_the_world_of_the_movie_by_science_fictiona,7_overall_how_relevant_was_world_building_to_the_movie_world_building,8_how_many_major_settings_does_the_movie_contain_here_we_re_asking_you,4_how_immersive_did_you_find_this_setting_by_immersive_we_mean_fully_r,5_in_your_opinion_how_would_you_rate_the_quality_of_the_setting_and_wo,7_on_the_whole_how_would_you_describe_the_pace_of_the_movie_pace_is_th,12a_on_a_scale_of_1_entirely_unresolved_to_7_entirely_resolved,12b_on_a_scale_of_1_very_unsurprising_predictable_to_7_very_surprising,12c_on_a_scale_of_1_very_confusing_to_7_very_easy_to_understand,19_how_convincing_did_you_find_the_plot_by_convincing_we_mean_believab,3_how_evocative_did_you_find_the_visual_style_by_evocative_we_mean_aff,4_how_interesting_did_you_find_the_visual_style_by_interesting_we_mean,7_now_let_s_talk_pun_intended_about_dialogue_in_your_opinion_how_was_t,8_how_engaging_did_you_find_the_dialogue_in_the_movie,5_to_what_extent_did_you_feel_moved_by_this_movie_on_an_emotional_basi,13_how_much_did_you_like_the_score,8c_how_proactive_was_this_protagonist_by_proactive_we_mean_motivated_a,plot_driven,character_driven,character_development,opening_hook,time_linearity,plot_linearity,ending_reversal
11119,&quot;Q&quot; Is for Quarry,2002.0,5,3,10,3,4,4,6,6,5,6,6,1,1,3,3,6,6,3,7,5,6,6,5,5,4,5,4,5,5,5,4,3,4,2,1,3
11120,&quot;R&quot; Is for Ricochet,2004.0,6,2,15,4,4,4,6,5,5,6,5,1,1,3,3,6,5,4,7,5,6,6,5,5,4,6,4,5,4,5,4,3,4,1,1,3
11121,Twilight at the Well of Souls,1980.0,5,4,10,3,3,4,5,5,5,5,4,6,6,5,6,6,6,3,6,5,5,5,5,5,4,5,3,5,5,5,4,5,4,2,1,2
11122,&quot;S&quot; Is for Silence,2005.0,5,2,10,4,4,4,6,5,5,6,5,1,1,4,3,6,5,4,7,6,6,6,6,5,4,6,4,5,5,5,4,5,5,4,4,3
11123,The Naughtiest Girl in the School,1940.0,5,1,10,4,3,2,5,5,5,5,5,2,1,3,1,5,5,3,5,3,6,5,5,5,4,5,3,5,2,4,4,5,2,1,1,2
11124,Blue Light (novel),1998.0,5,1,10,3,3,4,4,5,4,5,3,6,6,5,2,6,6,4,7,5,5,3,5,6,3,5,4,5,5,5,3,5,5,1,1,3
11125,Adrenaline (novel),1985.0,5,2,10,5,4,3,5,5,3,5,5,1,1,3,2,6,5,4,3,3,6,4,5,5,4,5,4,5,5,5,3,3,5,1,1,2
11126,Spacehounds of IPC,1947.0,5,2,10,3,4,5,5,5,5,5,5,6,6,5,4,6,6,4,7,5,6,5,5,5,4,5,3,5,5,5,3,5,5,1,1,3
11127,Paranoid Park (novel),2006.0,5,1,10,4,3,2,6,6,5,6,6,1,1,3,1,6,5,3,4,4,5,6,5,5,4,5,4,5,3,4,5,6,5,2,2,3
11128,The Ointment Seller,,5,3,5,3,2,3,5,3,3,5,3,6,1,3,2,5,5,3,3,3,5,2,5,5,4,6,3,5,4,3,3,1,3,1,1,1
11129,Don't Call Me Ishmael,2006.0,5,5,10,4,4,4,6,6,6,6,5,1,1,3,2,5,5,3,7,5,6,5,5,5,4,6,4,5,4,3,5,5,2,1,1,2
11130,Untamed (Cast novel),2008.0,5,1,20,4,4,4,5,6,5,5,3,6,3,5,3,6,6,3,5,5,5,5,6,5,4,5,4,5,4,5,5,5,5,1,1,3
11131,Wild Seed (novel),,5,2,10,5,4,4,6,6,5,6,5,7,6,5,3,6,6,3,7,5,6,5,6,6,4,6,4,5,4,4,5,6,5,2,1,3
11132,The Book of Ptath,1947.0,5,1,15,4,3,4,5,5,3,5,3,7,6,5,1,6,6,3,6,5,5,3,6,5,4,5,4,5,5,4,4,5,5,4,1,3
11133,Triplanetary (novel),1934.0,3,2,20,3,3,4,3,5,3,4,3,6,6,5,3,6,6,3,5,3,5,4,5,5,3,5,3,5,4,5,2,1,2,1,2,1
11134,Sinister Barrier,1943.0,5,2,15,3,3,4,5,5,4,5,3,6,6,5,3,6,6,4,6,5,5,4,5,5,4,5,3,5,5,5,3,3,5,1,1,2
11135,Arlington Park (novel),2006.0,6,5,5,4,4,3,6,5,5,6,6,1,1,3,2,5,5,3,5,3,6,6,5,5,4,5,4,5,2,2,5,4,1,1,1,1
11136,Dexter by Design,2009.0,5,4,10,4,3,4,5,5,3,6,5,3,1,3,3,6,6,4,5,5,6,5,6,5,4,6,4,5,4,4,5,4,4,2,1,2
11138,The Hitch-Hiker (short story),1977.0,5,2,5,3,3,4,5,4,5,6,5,2,2,3,2,5,5,3,6,6,6,5,5,5,4,6,3,5,4,4,4,2,4,1,1,3
11139,The Forest of Time,1987.0,5,2,10,4,3,3,5,5,5,6,5,6,6,5,6,6,6,3,5,5,5,5,6,6,4,5,4,5,4,4,4,5,4,4,4,2
11140,The Alchemaster's Apprentice,2007.0,5,2,10,3,4,4,5,5,5,6,2,7,6,5,1,6,6,3,6,5,5,5,6,6,4,6,4,5,4,4,5,5,4,1,1,3
11141,Skylark of Valeron,1949.0,5,2,20,3,4,5,5,5,5,5,3,7,6,5,4,6,6,4,7,5,6,4,5,5,4,5,3,5,5,5,3,5,4,1,1,3
11142,The Good House (novel),2003.0,5,4,10,5,4,4,6,6,5,6,5,5,1,5,3,6,6,3,7,5,5,5,6,6,4,6,4,5,5,4,5,6,5,4,4,3
11143,Seven Out of Time,1949.0,5,2,10,3,4,4,5,6,5,6,3,6,6,5,1,6,6,4,6,5,5,4,6,6,4,5,4,5,5,4,5,6,5,4,4,2
11144,George's Mother,1896.0,5,2,10,4,2,1,5,4,4,5,6,1,1,3,2,5,5,3,2,3,5,5,5,5,4,5,4,5,2,4,4,3,3,1,1,2
11145,Purple Hibiscus,2003.0,6,2,10,5,4,3,6,6,5,6,6,1,1,4,2,6,6,3,5,5,6,6,6,5,4,6,5,6,3,4,5,6,4,2,2,2
11146,The Coming of the King,1988.0,5,1,10,4,4,4,5,5,4,6,5,6,2,5,6,6,6,3,5,5,5,4,5,5,4,5,4,5,4,5,3,5,2,2,1,1
11147,Charon: A Dragon at the Gate,1982.0,5,3,15,3,3,4,5,5,5,5,3,6,6,5,1,6,6,4,5,5,5,5,6,6,4,5,4,5,5,5,5,6,5,1,1,3
11148,Ancient Engines,1999.0,5,2,10,4,4,3,5,5,4,6,5,6,6,5,2,6,6,3,5,5,6,5,6,5,4,6,4,5,3,3,4,3,4,1,1,1
11149,"John Halifax, Gentleman",1856.0,5,2,10,4,4,5,6,6,6,6,6,1,1,3,2,5,5,3,7,3,6,6,5,5,4,5,4,5,5,3,4,5,2,1,1,2
11150,Red Sky in the Morning,1988.0,5,1,10,5,4,4,6,6,6,6,5,1,1,3,1,5,5,3,6,5,6,6,6,5,4,5,5,5,5,4,5,6,2,2,2,3
11151,Lush Life (novel),2008.0,6,4,10,4,3,3,6,5,5,6,6,1,1,5,1,6,6,3,5,5,5,6,6,5,4,6,4,5,3,5,4,4,5,2,2,2
11152,Scenes of Clerical Life,1858.0,6,1,10,4,4,2,6,6,5,6,6,1,1,3,2,6,6,2,5,3,6,6,5,5,4,5,4,5,2,3,5,5,2,1,1,2
11153,Le Vingtième siècle. La vie électrique,1891.0,5,3,10,3,4,4,5,5,5,5,5,5,6,4,3,5,6,3,7,5,5,4,5,6,4,5,3,5,4,5,4,5,4,1,1,3
11154,Apex Hides the Hurt,2006.0,5,1,3,5,3,3,6,5,5,6,5,1,1,5,1,6,6,3,5,5,5,5,5,5,4,5,4,5,4,3,5,5,3,2,1,2
11155,First Lensman,1950.0,5,1,20,4,4,5,5,5,3,5,3,7,7,5,5,6,6,4,7,3,6,5,6,5,4,5,3,5,5,5,4,3,2,1,1,3
11156,Jake's Tower,2001.0,5,1,5,4,4,3,6,6,6,6,5,2,1,4,3,5,5,3,7,6,6,6,6,5,4,5,4,6,4,4,5,6,4,2,1,3
11157,The Garbage King,2003.0,5,2,5,4,4,3,6,6,6,6,5,1,1,4,2,6,6,3,5,5,5,6,6,5,4,6,5,6,4,4,5,6,5,1,1,2
11158,The Cometeers,1950.0,5,3,20,4,4,4,5,5,5,6,5,6,7,5,3,6,6,4,7,5,6,5,6,6,4,5,4,5,5,5,4,5,4,2,1,3
11159,The Purchase of the North Pole,1889.0,5,3,10,3,3,2,4,4,3,5,2,6,6,5,3,5,6,3,5,5,5,3,5,5,4,5,3,5,5,5,3,1,4,1,1,3
11160,Galactic Patrol (novel),1937.0,5,2,10,3,3,4,5,5,5,5,3,6,7,5,3,6,6,4,6,5,6,5,5,5,4,5,3,5,5,5,3,5,3,1,1,2
11161,Waking the Moon,1994.0,5,3,15,4,4,3,5,5,5,6,4,6,4,5,2,6,6,3,5,5,5,4,6,6,4,6,4,5,4,4,4,5,4,2,1,3
11162,The Lottery Ticket,1886.0,5,3,10,3,4,4,5,6,5,5,5,1,1,3,1,5,5,3,7,5,6,5,5,5,4,5,4,5,4,4,5,5,3,1,1,3
11163,Replay (Creech novel),2005.0,5,1,10,4,4,3,6,6,6,6,5,1,1,3,2,5,5,3,5,5,6,5,5,5,4,6,4,5,3,3,5,5,3,1,1,2
11164,Fat Chance (Clark novel),1996.0,5,1,5,4,4,4,6,6,6,5,6,1,1,3,2,5,5,3,7,4,6,5,5,5,4,5,4,5,4,4,5,7,4,1,1,3
11165,The Berkut,1987.0,5,2,10,3,1,4,5,2,1,5,4,1,1,5,3,6,6,4,6,5,6,3,6,5,4,5,3,5,5,5,3,1,5,2,1,3
11166,Little Brother (Doctorow novel),2008.0,6,3,10,5,5,5,6,6,6,6,6,2,5,5,3,6,6,4,6,4,6,6,6,5,4,6,4,6,5,5,5,5,5,1,1,2
11167,The Farthest-Away Mountain,,5,1,10,4,4,5,5,6,6,6,3,7,6,5,3,6,6,3,7,5,6,5,6,6,4,5,4,5,5,5,5,6,4,2,1,3
11168,The Promised Land (novel),1899.0,5,3,5,4,3,3,6,5,5,6,5,1,1,4,2,6,6,3,5,4,6,5,5,5,4,5,4,5,4,4,4,5,3,1,1,3
11169,Dracula's Guest,1914.0,5,1,10,3,3,3,5,4,4,5,4,6,2,4,3,6,6,3,5,5,6,5,6,6,4,5,4,5,4,4,4,1,5,1,1,2
11171,Captain Pantoja and the Special Service,1973.0,5,2,10,4,3,4,6,5,5,6,5,1,1,4,2,6,6,3,5,5,6,5,6,5,4,6,4,5,4,4,5,5,4,1,1,2
11172,Second Stage Lensmen,1953.0,5,2,20,4,4,5,5,5,5,5,3,7,7,5,6,6,6,4,7,5,5,5,5,5,4,5,3,5,5,5,4,5,4,1,1,3
11173,Hundred-Dollar Baby,2006.0,6,1,10,4,4,4,6,6,5,6,5,1,1,2,2,6,5,3,6,5,6,5,5,5,4,6,4,5,4,4,5,5,4,1,1,2
11176,A Matter of Profit,2001.0,5,1,10,4,4,4,5,5,5,6,5,5,6,4,2,6,6,3,5,5,6,5,5,5,4,5,4,5,4,4,4,5,4,1,1,2
11177,Tripmaster Monkey,1990.0,5,1,10,5,3,3,6,6,5,6,5,5,1,5,3,6,6,3,7,5,5,5,6,6,4,6,4,5,4,3,5,6,3,1,1,2
11178,Children of the Lens (novel),1954.0,4,5,20,4,3,5,4,5,3,5,2,7,7,5,6,6,6,4,7,3,5,3,6,5,4,5,3,5,5,5,3,6,3,1,1,3
11179,Insoumise et dévoilée,2008.0,5,1,5,5,4,4,6,6,6,6,6,1,1,3,1,6,5,3,5,5,5,6,6,5,4,5,5,6,5,4,5,7,5,1,1,3
11180,The Macdermots of Ballycloran,1847.0,5,3,10,5,4,2,6,6,5,5,6,1,1,5,1,6,6,3,1,5,6,6,5,5,4,5,5,5,4,5,5,2,5,1,1,3
11181,The King's Buccaneer,1992.0,5,1,15,4,4,4,6,6,5,6,5,6,5,5,5,6,6,4,7,5,6,5,6,5,4,5,4,5,5,5,5,6,4,1,1,3
11182,Rainbow Boys,2001.0,6,3,15,5,4,4,6,6,6,6,6,1,1,1,2,6,4,3,5,3,6,6,5,5,4,6,4,5,4,3,5,6,3,1,2,2
11183,Rainbow High (book),2003.0,6,3,10,5,4,4,6,6,6,6,6,1,1,3,2,6,6,3,6,5,6,6,6,5,4,6,4,5,4,3,5,5,2,1,1,2
11184,Song of the Sparrow,2007.0,5,1,10,4,4,4,6,6,5,6,5,5,1,5,1,6,6,4,7,5,6,5,6,5,4,5,4,5,5,4,5,6,5,1,1,2
11185,Devta (novel),,5,1,20,4,4,4,5,5,5,5,3,6,5,5,5,6,6,4,3,5,5,3,6,5,4,6,4,6,5,5,3,5,4,4,4,2
11186,Dragons of a Lost Star,2001.0,5,6,20,4,3,4,5,5,3,5,3,7,6,5,6,6,6,4,5,5,5,5,6,6,4,5,4,5,4,5,4,5,4,4,4,3
11187,Zombie Broadway,2008.0,5,4,15,3,3,3,5,4,4,5,3,6,5,4,2,6,5,3,5,5,6,4,5,5,4,5,3,5,3,4,3,3,4,1,1,2
11188,Airhead (novel),2008.0,5,1,10,4,4,4,5,6,5,6,4,5,5,4,2,5,5,4,5,5,6,4,5,5,4,5,4,5,4,4,5,5,5,2,2,2
11189,Godfrey Morgan,1882.0,5,3,5,3,3,4,5,5,5,5,4,4,2,5,3,5,5,3,7,4,6,5,5,5,4,5,3,5,4,4,5,6,4,1,1,2
11190,Hero in the Shadows,2000.0,5,1,5,4,4,4,6,6,5,6,4,6,3,5,3,6,6,4,5,4,6,5,5,5,4,6,4,5,4,4,5,5,4,2,1,2
11191,Joseph and His Friend: A Story of Pennsylvania,1870.0,5,3,5,4,4,3,5,5,5,6,5,1,1,3,2,5,5,3,6,5,6,5,5,5,4,5,4,5,4,4,5,5,4,1,1,2
11192,Conversation in The Cathedral,1969.0,6,2,20,4,4,4,6,5,5,6,6,1,1,5,2,6,6,3,5,5,5,6,6,5,5,6,4,5,4,3,5,5,4,4,1,2
11193,Running Before the Wind,1987.0,5,1,10,4,4,3,6,6,6,6,5,1,1,2,1,5,5,3,4,5,5,5,6,5,4,5,4,5,3,3,5,5,5,1,1,2
11194,Star Wind,1986.0,5,1,15,4,4,3,5,5,5,5,5,5,5,4,1,5,5,3,5,5,5,5,5,5,4,5,4,5,4,4,4,5,4,1,1,2
11195,Surviving Antarctica: Reality TV 2083,2005.0,5,5,10,4,4,4,5,5,5,5,5,5,6,5,3,6,6,3,6,5,6,5,6,6,4,5,4,5,4,5,4,5,4,1,1,3
11196,Conan the Defender,1982.0,5,1,15,4,4,5,5,5,3,5,5,6,5,5,3,6,6,4,5,5,6,5,6,5,4,5,3,5,5,5,3,5,5,1,1,3
11197,The Mistletoe Farm,1948.0,5,6,8,3,4,3,5,5,5,5,5,1,1,4,2,5,5,3,6,3,6,5,5,5,4,5,3,5,4,4,4,5,3,1,1,2
11198,Apocalypse (Bowler novel),2004.0,5,1,10,4,4,4,5,6,5,5,5,5,5,5,3,6,6,3,5,5,5,5,6,5,4,5,4,5,5,5,5,6,5,2,1,3
11199,The Merchant and the Alchemist's Gate,2007.0,5,4,10,4,4,3,6,6,5,6,4,6,6,5,2,6,6,3,6,6,6,5,6,6,4,6,4,5,4,4,5,5,4,4,4,2
11200,Tideline (short story),2007.0,5,2,2,4,4,4,6,6,5,6,5,5,6,5,1,6,6,3,6,5,6,6,6,6,4,5,4,6,4,4,4,5,4,1,1,2
11201,Firestar's Quest,2007.0,5,1,20,4,5,5,6,6,5,6,5,6,5,5,3,6,6,3,7,3,6,5,6,5,4,5,4,5,5,5,4,5,3,4,1,2
11202,Od ani holeh,2008.0,5,1,10,4,2,2,6,6,5,6,6,1,1,4,1,6,6,3,5,5,5,5,6,5,4,5,4,5,4,4,5,5,5,2,1,2
11203,Reservation Blues,1995.0,6,5,5,5,4,4,6,6,5,6,5,5,3,5,2,6,6,3,5,5,6,5,6,5,4,6,4,6,4,4,4,5,4,4,1,2
11204,The Good Husband of Zebra Drive,2007.0,6,4,15,4,4,4,6,5,5,6,6,1,1,4,3,6,6,3,7,2,7,6,5,5,4,6,4,5,4,3,4,5,2,1,1,2
11205,The House of the Toad,1993.0,5,1,10,3,2,3,5,5,4,6,5,6,5,5,3,6,6,4,3,5,5,5,6,6,4,5,4,5,4,5,4,4,4,2,1,3
11206,The Miracle at Speedy Motors,2008.0,6,2,15,4,5,4,6,6,6,6,6,2,1,4,2,6,6,3,6,4,6,6,5,5,4,6,4,5,4,3,5,4,3,1,1,2
11207,Finisterra (novelette),2007.0,5,1,5,4,4,4,6,6,5,6,5,6,6,4,2,6,6,3,5,5,6,5,6,5,4,5,4,5,4,4,4,5,4,1,1,2
11208,Addie Pray,1971.0,5,2,15,4,4,4,6,5,5,6,6,1,1,3,3,6,6,3,5,5,6,5,5,5,4,6,4,5,4,4,4,5,4,1,1,2
11209,Shadow Forest,2007.0,5,2,15,4,4,4,5,6,5,5,4,6,5,5,2,6,6,3,7,5,5,5,6,5,4,5,4,5,5,5,4,5,5,1,1,3
11210,Catcall (novel),2006.0,5,2,10,4,4,4,6,6,5,6,5,1,1,2,2,5,5,3,5,4,6,5,5,5,4,5,4,5,4,3,4,5,3,1,1,2
11211,Armance (novel),1827.0,5,2,10,4,4,3,6,6,5,6,5,1,1,3,2,5,5,2,2,4,5,5,5,5,4,5,4,5,2,2,5,5,3,1,1,3
11212,Shanghai Baby,2001.0,5,1,5,4,3,3,6,5,5,5,5,1,1,3,2,6,6,3,3,5,5,5,6,5,4,5,4,5,4,4,5,5,4,2,1,3
11213,Change of Heart (novel),2008.0,5,3,10,3,4,3,5,5,5,5,5,1,1,3,2,5,5,3,5,5,6,5,5,5,4,5,4,5,3,4,4,5,4,1,1,1
11214,The Accidental,2005.0,5,5,5,4,3,3,5,5,5,6,5,1,1,4,1,6,6,3,5,5,5,5,6,6,4,5,4,5,3,3,5,5,4,4,2,2
11215,A Dog's Tale,1904.0,5,1,10,4,5,4,6,7,5,6,5,1,1,3,1,6,5,3,5,3,6,5,6,5,4,5,5,5,5,4,5,3,4,1,1,2
11216,Daughter of the Forest,1999.0,5,1,15,5,5,4,6,6,5,6,5,6,2,5,1,6,6,3,6,5,6,5,6,6,4,6,5,5,5,4,5,6,4,1,1,3
11217,The Kampung Boy,1979.0,6,1,10,5,4,3,6,6,6,6,6,1,1,5,3,6,6,3,6,3,7,6,6,6,4,6,4,5,4,3,4,5,2,1,1,2
11218,Son of the Shadows,2000.0,5,3,20,4,4,5,6,6,6,6,5,6,2,5,6,6,6,4,7,5,6,5,6,6,4,6,4,6,5,5,5,6,4,2,1,3
11219,Child of the Prophecy,2001.0,5,1,20,5,4,4,6,6,5,6,4,6,6,5,6,6,6,4,7,5,5,5,6,6,4,5,4,5,5,5,5,6,4,1,1,3
11220,The Devil's Elixirs,1815.0,5,1,20,4,3,2,5,6,5,6,5,6,2,5,4,6,6,3,5,6,4,5,6,6,4,5,4,5,4,4,5,6,4,4,4,3
11221,Naïve. Super,1996.0,5,1,5,3,4,3,6,5,5,6,5,1,3,2,2,5,4,3,6,5,5,5,5,5,4,5,4,5,3,2,5,5,2,2,1,2
11222,Love &amp; Sleep,1994.0,5,3,20,4,3,3,5,5,5,5,5,5,3,5,3,6,6,3,5,5,5,5,5,5,4,5,4,5,4,3,5,5,2,4,4,1
11223,Bertie Changes His Mind,1922.0,5,2,5,3,3,2,5,5,5,6,5,1,1,1,3,5,5,3,7,3,6,5,5,5,4,6,3,5,4,3,4,3,1,1,1,2
11224,Marrying Buddha,2005.0,5,1,10,4,3,3,6,5,5,5,5,1,1,4,5,6,6,3,3,5,5,5,5,5,4,5,4,5,4,3,5,5,4,4,3,3
11225,Flight of the Nighthawks,2005.0,5,2,15,4,4,4,5,5,5,5,4,6,5,5,3,6,6,4,6,5,6,5,5,5,4,5,4,5,4,5,4,4,4,1,1,3
11226,Wrath of a Mad God,2008.0,5,5,20,3,4,5,5,5,3,5,1,7,5,5,5,6,6,4,7,5,5,5,5,5,4,5,4,5,5,5,3,5,4,1,1,3
11227,"Angus, Thongs and Full-Frontal Snogging",1999.0,6,1,10,4,4,3,6,6,6,6,6,1,1,2,2,5,5,3,5,3,6,6,5,5,4,6,3,5,4,3,4,3,2,1,1,2
11228,The Saturdays (novel),1941.0,5,4,10,4,4,4,6,5,5,6,6,1,1,3,1,6,6,3,7,5,6,6,5,5,4,6,4,5,5,2,4,5,2,1,1,1
11230,Sputnik Caledonia,2008.0,5,1,10,4,4,3,6,5,5,6,5,5,4,4,1,6,6,3,5,5,6,5,5,5,4,5,4,5,4,2,4,3,3,1,1,1
11231,A Prisoner of Birth,2008.0,5,1,10,4,4,4,6,6,5,6,5,1,1,4,2,6,5,4,7,5,6,5,5,5,4,6,4,5,5,5,5,6,5,1,1,3
11232,Great Sky River (novel),1987.0,5,1,20,4,4,4,5,5,3,6,4,6,7,5,1,6,6,4,5,5,5,5,6,6,4,5,4,5,5,5,3,5,4,2,1,2
11234,Dragon's Nest,2005.0,5,3,10,4,4,4,5,5,5,5,3,6,5,5,4,6,6,4,6,5,5,5,6,5,4,5,4,6,5,4,4,5,4,1,1,3
11235,The Sister of the South,2004.0,5,3,10,4,4,4,5,5,5,5,3,6,5,5,3,6,6,4,7,5,5,5,5,5,4,5,4,6,4,5,3,4,4,1,1,3
11236,Kingsblood Royal,1947.0,5,1,10,5,4,3,6,6,6,6,6,1,1,4,1,6,5,3,6,5,6,5,6,5,4,5,5,6,4,4,5,6,4,1,1,3
11237,Klingsor's Last Summer,1920.0,5,1,10,4,3,2,6,5,5,6,5,2,1,3,2,6,6,3,5,5,5,5,6,6,4,5,4,5,2,2,5,5,3,2,1,2
11238,Who's Afraid of Wolf 359?,2007.0,5,1,10,3,3,4,5,5,4,5,5,6,6,4,3,6,6,4,6,5,5,5,5,5,4,5,4,5,4,4,4,5,4,2,1,3
11239,Mortimer Gray's History of Death,1995.0,5,1,10,4,4,4,6,5,5,6,5,5,5,4,2,6,6,3,5,5,6,5,6,5,4,5,4,5,4,4,4,5,4,3,2,2
11240,The Nonexistent Knight,1959.0,5,2,10,3,4,4,5,5,4,6,3,6,3,5,6,6,6,3,6,5,6,5,6,6,4,6,4,5,4,4,5,5,3,4,4,2
11241,Death of a Gossip,1985.0,5,2,10,3,4,4,5,5,5,5,5,1,1,4,2,6,6,3,7,3,6,5,5,5,4,5,3,5,4,4,4,3,3,1,1,2
11242,Tom Swift and His Electric Rifle,1911.0,3,1,15,3,3,5,3,4,3,4,2,6,6,5,2,5,5,3,6,3,6,2,5,5,3,5,2,5,5,4,2,2,2,1,1,1
11243,Ally (novel),2007.0,5,1,15,4,4,4,5,6,5,6,4,6,6,5,2,6,6,3,5,5,5,5,5,5,4,5,4,5,5,4,4,6,5,1,1,2
11244,Judge (novel),2008.0,5,6,15,4,4,4,5,5,5,6,5,5,6,5,3,6,6,3,6,5,5,5,5,5,4,5,4,5,4,4,5,5,3,2,2,2
11245,Tom Swift in the City of Gold,1912.0,3,1,10,3,4,4,3,5,3,4,3,6,5,5,3,5,5,4,6,3,6,3,5,5,3,5,2,5,5,5,2,2,4,1,1,3
11246,Tom Swift and His Air Glider,1912.0,5,1,10,3,3,4,4,4,3,4,4,5,5,4,2,5,5,3,5,3,6,4,4,5,3,5,2,5,5,5,2,3,3,1,1,1
11247,Get Out of My Sky,1957.0,5,3,10,4,3,3,5,5,5,5,5,5,6,5,2,6,6,3,6,5,5,5,6,5,4,5,4,5,5,5,5,6,5,1,1,3
11248,The Getting of Wisdom,1910.0,5,1,15,4,4,3,6,6,6,6,6,1,1,4,2,6,6,3,6,4,6,5,6,5,4,5,4,5,4,2,5,5,2,1,1,3
11249,To the Islands,1958.0,5,1,10,4,2,3,6,5,4,6,6,2,1,4,1,6,6,3,4,5,5,5,6,5,4,5,4,5,3,3,4,5,4,2,1,2
11250,The Well Dressed Explorer,1962.0,5,1,5,3,1,1,5,2,2,3,5,1,1,2,2,4,3,2,1,2,5,5,3,4,3,3,2,3,2,2,4,1,2,1,1,1
11251,The Secret Dreamworld of a Shopaholic,,5,1,10,4,4,2,6,5,5,5,5,1,1,3,3,5,5,3,5,3,6,5,5,5,4,6,3,5,3,3,5,5,2,1,1,2
11252,Tom Swift in Captivity,1912.0,5,1,10,3,3,4,5,5,4,5,3,6,5,4,2,5,5,3,5,3,6,4,5,5,3,5,3,5,4,4,2,3,4,1,1,1
11253,The Assassination of Jesse James by the Coward Robert Ford (novel),1983.0,6,3,15,4,2,2,6,5,4,6,6,1,1,5,3,6,6,3,7,5,6,6,6,5,4,6,4,6,4,5,5,5,4,2,1,3
11254,The Melting of Maggie Bean,2007.0,5,1,10,4,4,4,6,6,6,6,5,1,1,2,2,5,3,3,6,4,6,5,5,5,4,5,4,5,4,3,5,5,2,1,1,2
11255,Tom Swift and His Wizard Camera,1912.0,5,1,10,3,4,4,5,5,5,5,4,5,5,4,3,5,5,3,5,3,6,5,5,5,4,5,3,5,4,4,3,3,2,1,1,1
11256,Owls to Athens,2004.0,5,2,10,4,4,3,5,5,5,5,5,3,1,4,2,6,6,3,5,4,6,5,5,5,4,5,3,5,4,4,4,3,2,1,1,2
11257,Aavarana,2007.0,5,1,10,5,4,4,6,6,6,6,5,1,1,4,3,6,6,3,5,5,6,5,6,5,4,6,4,6,5,3,5,6,4,1,1,2
11258,Frostbite (Mead novel),2008.0,5,2,10,4,4,4,6,6,5,6,5,6,5,4,3,6,6,4,7,5,6,6,6,5,4,6,4,5,5,5,4,5,5,1,1,3
11259,Switchers (novel),1994.0,5,2,10,4,4,4,5,6,5,6,3,6,6,5,2,6,6,3,6,5,6,5,6,5,4,5,4,5,5,5,5,5,4,2,1,3
11260,Banaag at Sikat,1906.0,5,2,10,5,4,4,6,6,5,6,6,1,1,4,1,6,6,3,5,5,5,6,5,5,4,6,4,5,4,3,5,5,2,1,1,2
11261,TIM Defender of the Earth,2008.0,5,3,10,3,3,3,5,5,5,5,4,5,6,5,3,5,5,3,5,5,5,4,5,5,4,5,3,5,3,4,4,3,4,2,2,3
11262,Bring Larks and Heroes,1967.0,6,1,10,4,4,3,6,5,5,6,5,2,1,5,1,6,6,3,5,5,5,5,6,5,4,5,4,5,4,3,4,5,3,2,1,2
11263,The Girls of Slender Means,1963.0,5,1,20,4,3,3,5,5,4,6,6,1,1,4,2,6,6,3,5,5,5,5,5,5,4,5,4,5,3,2,4,3,3,4,4,3
11264,The Janissary Tree,2006.0,5,1,10,4,4,5,6,5,5,6,6,2,1,5,5,6,6,4,7,5,6,6,6,5,4,6,4,5,5,5,3,4,5,1,1,3
11265,The Snake Stone,2008.0,5,2,10,4,4,4,5,5,5,6,5,2,1,4,3,6,6,3,6,5,6,5,6,5,4,5,4,5,4,4,4,4,4,1,1,2
11266,An Episode of Sparrows,1955.0,6,2,15,4,4,4,6,6,6,6,6,1,1,5,2,6,6,3,6,5,6,6,6,5,4,5,4,5,5,3,4,5,3,1,1,2
11267,Last Bus to Woodstock,1975.0,5,3,10,3,3,3,5,3,3,5,5,1,1,2,2,5,4,3,7,5,5,6,5,5,4,5,4,5,3,5,4,2,5,2,2,3
